date, pm25, pm10, o3, no2, so2, co
6/15/2020,60,29,1,3,1,3
6/16/2020,53,57,1,3,2,4
6/17/2020,93,69,1,5,1,3
6/18/2020,97,102,1,5,1,5
6/19/2020,139,107, ,7,1,5
6/20/2020,148,114, ,7,2,4
6/21/2020,166,114, ,9,1,5
6/22/2020,141,183,15,15,16,7
6/23/2020,192,167,16,14,11,7
6/24/2020,189,237,13,16,15,6
6/25/2020,201,199,13,18,15,6
6/26/2020,184,228,16,21,17,7
6/27/2020,197,281,16,22,21,7
6/28/2020,226,259,18,22,22,7
6/29/2020,218,274,16,22,21,8
6/30/2020,220,222,17,18,16,6
7/1/2020,186,225,19,21,18,6
7/2/2020,195,214,13,19,12,6
7/3/2020,174,288,13,21,11,8
7/4/2020,196,283,21,9,10,3
7/5/2020,149,132,19,7,9,5
7/6/2020,141,170,23,11,15,6
7/7/2020,174,163,27,13,12,7
7/8/2020,174,220,24,22,13,8
7/9/2020,184,312,15,18,14,6
7/10/2020,214,184,14,12,12,5
7/11/2020,154,399,8,13,13,6
7/12/2020,198,169,19,11,9,4
7/13/2020,135,253,19,18,11,7
7/14/2020,190,203,19,12,12,5
7/15/2020,174,193,18,7,9,4
7/16/2020,158,137,18,10,10,5
7/17/2020,153,349,21,23,20,9
7/18/2020,266,269,25,20,14,8
7/19/2020,201,340,18,20,19,8
7/20/2020,278,275,23,20,19,8
7/21/2020,247,157,23,8,10,6
7/22/2020,160,157,21,6,7,6
7/23/2020,134,223,17,5,8,6
7/24/2020,158,96,19,7,6,5
7/25/2020,136,86,17,12,6,5
7/26/2020,142,181,21,22,8,8
7/27/2020,198,156,25,15,9,7
7/28/2020,187,134,28,8,8,7
7/29/2020,173,110,21,6,7,6
7/30/2020,157,114,27,6,8,6
7/31/2020,158,118,25,6,7,6
8/1/2020,161,115,28,7,6,5
8/2/2020,153,136,28,8,7,6
8/3/2020,161,250,20,18,10,10
8/4/2020,185,233,15,14,15,6
8/5/2020,196,293,13,6,7,3
8/6/2020,160,177,32,8,9,6
8/7/2020,162,141,24,7,10,6
8/8/2020,160,176,38,8,11,6
8/9/2020,164,220,35,12,10,7
8/10/2020,179,229,18,5,3,4
8/11/2020,144,114,32,8,7,5
8/12/2020,148,59,18,3,3,4
8/13/2020,83,48,43,3,4,3
8/14/2020,91,87,42,9,5,5
8/15/2020,138,136,30,11,6,7
8/16/2020,186,145,21,13,6,5
8/17/2020,158,223,12,4,6,4
8/18/2020,154,131,21,6,6,5
8/19/2020,144,112,12,11,5,6
8/20/2020,137,173,22,12,4,7
8/21/2020,168,222,19,10,5,7
8/22/2020,173,170,15,13,6,5
8/23/2020,141,245,17,17,12,6
8/24/2020,167,216,18,15,10,7
8/25/2020,159,206,11,12,8,6
8/26/2020,140,149,18,10,8,5
8/27/2020,128,302,12,15,10,6
8/28/2020,162,275,9,9,7,3
8/29/2020,151,186,10,12,9,5
8/30/2020,145,260,8,12,7,4
8/31/2020,155,208,9,9,8,5
9/1/2020,152,186,11,11,8,4
9/2/2020,152,157,11,6,5,3
9/3/2020,117,181,8,5,5,3
9/4/2020,131,102,10,4,4,3
9/5/2020,86,176,13,6,3,2
9/6/2020,80,58,10,8,3,3
9/7/2020,72,46,8,5,2,2
9/8/2020,76,73,7,7,4,3
9/9/2020,110,100,12,7,5,3
9/10/2020,145,100,13,13,4,5
9/11/2020,133,93,14,5,5,3
9/12/2020,122,105,15,6,4,3
9/13/2020,124,123,16,8,6,6
9/14/2020,133,175,23,13,9,5
9/15/2020,151,109,19,5,7,4
9/16/2020,152,84,1, , ,10
9/17/2020,153,125,5,4,4,8
9/18/2020,175,103,12,5,2,4
9/19/2020,139,54,3,4,2,5
9/20/2020,88,51,5,5,3,5
9/21/2020,286,264,18,21,3,10
9/22/2020,287,210,5,13,2,10
9/23/2020,293,98,6,8,2,7
9/24/2020,173,68,5,8,2,6
9/25/2020,148,43,141,4,2,4
9/26/2020,109,41, ,4,1,4
9/27/2020,99,75, ,8,3,5
9/28/2020,154,70,6,8,2,4
9/29/2020,148,101,7,11,2,6
9/30/2020,171,122,6,12,3,9
10/1/2020,197,110,4,11,2,8
10/2/2020,183,89,4,5,2,5
10/3/2020,159,102,4,6,1,7
10/4/2020,176,153,6,11,1,8
10/5/2020,215,155,4,10,1,7
10/6/2020,212,152,6,8,2,7
10/7/2020,206,194,7,12,2,10
10/8/2020,255,151,19,14,2,10
10/9/2020,222,108,6,8,2,7
10/10/2020,187,81,5,5,2,7
10/11/2020,163,91,4,9,2,7
10/12/2020,160,96,4,8,2,7
10/13/2020,155,111,6,8,1,7
10/14/2020,175,111,9,11,2,6
10/15/2020,171,108,11,11,3,5
10/16/2020,158,144,16,16,3,6
10/17/2020,177,125,232,12,4,5
10/18/2020,183,160,4,14,2,9
10/19/2020,232,144,7,11,3,8
10/20/2020,220,139,14,8,3,7
10/21/2020,212,100,8,5,2,6
10/22/2020,181,57,5,5,2,5
10/23/2020,119,91,7,10,2,8
10/24/2020,167,180,13,13,3,10
10/25/2020,212,132,14,13,3,7
10/26/2020,196,136,16,14,3,8
10/27/2020,196,77,9,6,2,5
10/28/2020,140,95,11,10,2,6
10/29/2020,148,105,14,11,3,5
10/30/2020,146,123,14,14,4,6
10/31/2020,157,168,18,16,3,8
11/1/2020,186,144,14,14,3,6
11/2/2020,198,131,15,15,3,6
11/3/2020,184,182,15,16,4,8
11/4/2020,207,144,103,15,3,7
11/5/2020,186,210,24,16,4,9
11/6/2020,201,109, ,14,3,5
11/7/2020,162,99, ,8,4,5
11/8/2020,163,135,1,15,4,6
11/9/2020,157,152,7,11,6,5
11/10/2020,185,113,9,7,5,6
11/11/2020,180,144,10,11,3,8
11/12/2020,210,128,13,10,3,6
11/13/2020,181,40,9,3,2,3
11/14/2020,57,58,10,6,4,4
11/15/2020,101,80,12,10,3,4
11/16/2020,113,110,12,14,3,6
11/17/2020,163,127,11,14,4,6
11/18/2020,163,113,17,11,6,6
11/19/2020,171,84,8,7,4,4
11/20/2020,139,78,7,6,4,4
11/21/2020,132, , , , , 
11/22/2020,172,155,1,15,5,7
11/23/2020,182,105,1,8,6,5
11/24/2020,138,98,5,7,7,5
11/25/2020,141,108,8,11,6,5
11/26/2020,148,121,17,12,9,5
11/27/2020,156,141,11,14,10,7
11/28/2020,180,192,7,14,8,9
11/29/2020,202,189, ,15,9,7
11/30/2020,205,123,16,11,7,5
12/1/2020,161,139,12,11,7,7
